"","highest_qual","post_school_training_Computing","post_school_trainingArts","post_school_training_Creative.Arts","post_school_training_post_school_training_Languages","post_school_trainingScience","post_school_training_Social.Science","post_school_training_post_school_training_Mathematics","post_school_trainingEngineering","post_school_training_Education","post_school_training_Other"
"476",3,0,0,0,0,0,0,1,0,0,0
"477",2,1,0,0,0,0,0,0,1,0,0
"478",4,1,0,0,0,0,0,0,1,0,1
"479",4,1,0,0,0,0,0,0,0,0,1
"480",3,0,1,0,0,0,0,1,0,0,0
"481",4,0,0,0,0,0,0,0,0,0,0
"482",4,0,0,0,0,0,0,0,1,0,0
"483",1,0,0,0,0,0,0,0,0,0,0
"484",3,1,0,0,0,0,0,0,0,0,0
"485",3,1,0,0,0,1,0,1,0,0,0
"486",3,1,0,0,0,0,0,0,0,0,0
"487",4,0,0,0,0,0,0,0,0,0,0
"488",NA,0,0,0,0,0,0,0,0,0,0
"489",3,1,0,0,0,0,0,0,0,0,0
"490",3,0,0,0,0,0,0,0,0,0,0
"491",3,0,0,0,0,0,0,0,0,0,0
"492",4,0,0,0,0,1,0,0,0,0,0
"493",NA,0,0,0,0,0,0,0,0,0,0
"494",4,0,0,0,0,0,0,1,0,0,0
"495",2,1,0,0,0,0,0,0,0,0,0
"496",3,1,0,0,0,0,0,0,0,0,0
"497",3,0,0,0,0,0,0,0,0,0,1
"498",1,1,0,0,0,1,0,0,1,0,0
"499",3,1,0,0,0,0,0,0,0,0,0
"500",NA,0,0,0,0,0,0,0,0,0,0
"501",3,1,0,0,0,0,0,0,1,0,0
"502",NA,0,0,0,0,0,0,0,0,0,0
"503",3,0,0,0,0,0,0,0,0,0,0
"504",3,1,0,0,0,0,0,0,0,0,0
"505",1,0,0,0,0,0,0,0,0,0,1
"506",4,1,0,0,1,0,0,0,1,0,0
"507",1,0,0,0,0,0,0,0,1,0,0
"508",NA,0,0,0,0,0,0,0,0,0,0
"509",3,1,0,0,0,1,0,1,1,0,0
"510",3,1,0,0,0,0,0,0,0,0,0
"511",3,1,0,0,0,1,0,1,1,0,0
"512",4,1,0,0,0,0,0,0,0,0,0
"513",3,0,0,0,0,0,0,0,0,0,0
"514",NA,0,0,0,0,0,0,0,0,0,0
"515",3,0,0,0,0,0,0,0,0,0,1
"516",1,1,0,0,0,0,0,0,0,0,0
"517",4,0,0,0,0,0,0,1,0,0,0
"518",1,0,0,0,0,1,0,0,0,0,0
"519",4,0,0,0,0,0,1,0,0,0,0
"520",4,0,0,0,0,0,0,1,0,0,1
"521",3,1,0,0,0,0,0,0,0,0,0
"522",1,1,0,0,0,0,0,0,0,0,0
"523",3,1,0,0,0,0,0,0,0,0,0
"524",4,0,0,0,0,1,0,0,1,0,0
"525",4,0,0,0,0,1,0,0,1,0,0
"526",3,0,0,0,0,0,0,1,0,0,0
