"","win_os_perl_distro_strawberry","win_os_perl_distro_activestate","win_os_perl_distro_cygwin","win_os_perl_distro_other","win_os_perl_distro_best"
"953",0,0,0,0,NA
"954",0,0,0,0,NA
"955",0,0,0,0,NA
"956",0,1,0,0,1
"957",0,1,0,0,2
"958",0,0,0,0,NA
"959",0,0,0,0,NA
"960",0,0,0,0,NA
"961",0,0,0,0,NA
"962",0,1,0,0,2
"963",0,1,0,0,2
"964",0,0,0,0,NA
"965",0,0,0,0,NA
"966",0,1,0,0,2
"967",0,0,0,0,NA
"968",0,1,0,0,2
"969",0,1,0,0,2
"970",0,1,0,0,2
"971",0,0,0,0,NA
"972",0,0,0,0,NA
"973",0,0,0,0,NA
"974",0,0,0,0,NA
"975",0,1,1,0,NA
"976",1,0,1,0,1
"977",0,0,0,0,NA
"978",0,0,0,0,NA
"979",1,0,0,0,1
"980",0,0,0,0,NA
"981",0,0,0,0,NA
"982",0,0,1,0,3
"983",0,0,0,0,NA
"984",0,0,0,0,NA
"985",0,0,0,0,NA
"986",0,1,0,0,3
"987",0,0,0,0,NA
"988",0,0,0,0,NA
"989",0,0,0,0,NA
"990",0,0,0,0,NA
"991",0,0,0,0,NA
"992",0,1,0,0,2
"993",0,0,0,0,NA
"994",0,0,0,0,NA
"995",0,0,0,0,NA
"996",1,0,0,0,1
"997",1,0,0,0,1
