"","gender","age_group"
"1424",1,4
"1425",1,3
"1426",1,4
"1427",1,3
"1428",1,4
"1429",1,4
"1430",1,2
"1431",2,2
"1432",1,5
"1433",1,4
"1434",1,5
"1435",1,4
"1436",1,3
"1437",1,4
"1438",1,4
"1439",1,5
"1440",1,4
"1441",1,2
"1442",1,1
"1443",1,4
"1444",1,2
"1445",1,4
"1446",1,4
"1447",NA,NA
"1448",1,2
"1449",1,3
"1450",1,3
"1451",1,4
"1452",1,4
"1453",1,4
"1454",3,4
"1455",1,3
"1456",1,5
"1457",1,4
"1458",NA,NA
"1459",2,4
"1460",1,2
"1461",1,4
"1462",1,3
"1463",1,5
"1464",1,2
"1465",1,4
"1466",1,3
"1467",1,5
"1468",1,6
"1469",1,5
"1470",1,5
"1471",1,4
"1472",1,5
"1473",1,5
"1474",1,4
"1475",1,3
"1476",1,5
"1477",1,5
"1478",1,4
"1479",1,3
"1480",1,2
"1481",1,4
"1482",NA,NA
"1483",1,3
"1484",1,4
"1485",1,5
"1486",1,3
"1487",1,3
"1488",1,5
"1489",1,4
"1490",1,5
"1491",1,4
"1492",1,4
"1493",1,5
"1494",1,2
"1495",1,3
"1496",1,4
"1497",1,4
"1498",1,4
"1499",1,3
"1500",NA,NA
"1501",1,4
"1502",1,5
"1503",NA,NA
"1504",1,1
"1505",1,3
"1506",1,5
"1507",NA,NA
"1508",1,5
"1509",1,3
"1510",1,6
"1511",1,1
"1512",1,2
"1513",NA,NA
"1514",1,4
"1515",1,4
"1516",1,4
"1517",1,5
"1518",NA,NA
"1519",1,4
"1520",1,4
"1521",1,3
"1522",NA,NA
"1523",1,4
"1524",NA,NA
"1525",1,3
"1526",1,4
"1527",2,5
"1528",1,2
"1529",2,6
"1530",1,3
"1531",1,4
"1532",1,5
"1533",1,4
"1534",1,4
"1535",1,2
"1536",NA,NA
"1537",1,6
"1538",3,1
"1539",1,3
"1540",NA,NA
"1541",1,4
"1542",1,5
"1543",1,3
"1544",1,2
"1545",1,3
"1546",1,5
"1547",2,3
"1548",1,4
"1549",NA,NA
"1550",1,4
"1551",1,2
"1552",1,5
"1553",1,4
"1554",1,4
"1555",1,3
"1556",1,5
"1557",1,4
"1558",1,3
"1559",1,3
"1560",1,4
"1561",1,3
"1562",1,2
"1563",1,6
"1564",NA,NA
"1565",1,4
"1566",NA,NA
"1567",1,5
"1568",1,2
"1569",1,5
"1570",1,4
"1571",1,5
"1572",1,5
"1573",1,5
"1574",1,3
"1575",1,3
"1576",1,2
"1577",1,5
"1578",1,4
"1579",1,4
"1580",1,2
"1581",NA,NA
"1582",1,3
"1583",1,2
"1584",1,4
"1585",2,4
"1586",1,3
"1587",1,5
"1588",1,4
"1589",1,5
"1590",1,4
"1591",1,3
"1592",1,4
"1593",1,3
"1594",1,4
"1595",1,5
"1596",1,2
"1597",1,6
"1598",1,4
"1599",1,3
"1600",1,3
"1601",1,4
"1602",1,2
"1603",1,4
