"","official_perl_cert_for_me","official_perl_cert_for_others","perl_cert_comments"
"480",3,1,"In theory, it sounds like a good idea, but I'm not sure how well it could be made to work in practice.  One of Perl's best points is its creativity, which is also the hardest thing to quantify in a coder.  On the other hand, there are plenty of straightforward facts that one needs to know to be a competent Perl programmer (or not to be an incompetent one), so why not have a standard measurement for that?"
"481",NA,NA,"Imho, a Perl certification would be useless."
"482",NA,NA,""
"483",3,5,"I only see the use in a Perl certification for beginner programmers who want an official learning track."
"484",NA,NA,""
"485",2,2,"Certification is more useful for making money for the certification organization than users or hiring managers. Hence i don't think certification to be good for people. I guess the Perl foundation could however use the money, more or less wisely... There are always suckers to fool into the certification scheme..."
"486",NA,NA,""
"487",2,2,"Is it worth it? Do those things mean anything at all apart from the fact that you attended."
"488",NA,NA,""
"489",1,1,"I think a person's knowledge of Perl depends on what types of projects they've worked on since there are so many different ways to accomplish a specific goal."
"490",3,5,"Certifications for other languages are generally only useful to HR people as a datapoint to look for when weeding out resumes.  They don't correlate well with actual ability, particularly for those certifications where ""cram session"" courses, books, and websites exist."
"491",2,2,""
"492",3,3,"Keep it simple. The magic of perl is it's easy to use.  Let's not turn it into a PhD project."
"493",NA,NA,""
"494",1,1,""
"495",2,2,"I'm against any kind of certification after seeing so many crappy people full of certifications."
"496",5,5,""
"497",NA,NA,""
"498",4,4,""
"499",1,1,""
"500",NA,NA,""
"501",2,5,""
"502",NA,NA,""
"503",NA,NA,""
"504",3,3,"Certifications are better for low skillset, Perl is suited to an advanced skillset."
"505",2,3,""
"506",2,6,""
"507",6,6,"Well it would help when looking for jobs and for new employees"
"508",NA,NA,""
"509",6,6,""
"510",5,5,"Making it more known that their is an official Perl certification, and putting some value to it's obtention "
"511",1,6,""
"512",7,7,"That could help me to better sell my skills."
"513",4,4,""
"514",NA,NA,""
"515",1,1,""
"516",1,1,""
"517",2,3,""
"518",1,1,""
"519",1,1,"Other regularily used languages aren't certified as well..."
"520",5,6,""
"521",2,3,"please. grow up. move on. its not ADA. its not C. its not C++. its a fucking scripting language"
"522",5,5,""
"523",2,2,"Certification might make it more ""desirable"" to corporates, but making it certifiable would also create more pressure while trying to decide which certificate to go for when seeking a job."
"524",2,2,"pourquoi faire comme les autres ?"
"525",1,1,""
"526",1,5,"horrible!"
"527",1,1,""
"528",5,6,""
"529",4,4,""
"530",6,6,""
"531",1,1,""
"532",1,1,""
"533",1,1,"not neccesary, a quick interview test can determine competence- just deny internet access and ask for a task suited to level of job being offered"
"534",7,7,"I think it would help to strengthen business demand for Perl. "
"535",3,5,"The key is to enable in-house Perl education, training, and self-certification so that a company that invests in Perl development can develop their Perl talent internally. Also, it would be nice to have an online Perl testing application (hosted or downloadable) which we could put interview candidates through."
"536",5,5,"It could help make Perl viable to organizations that tend to shy away from Perl as an implementation language."
"537",2,2,""
"538",NA,NA,""
"539",2,1,""
"540",1,1,""
"541",NA,NA,""
"542",NA,NA,""
"543",6,6,""
"544",NA,NA,""
"545",1,1,""
"546",1,1,""
"547",5,6,"Don't know much about certification but it sounds like it could help Perl's reputation more than an individual programmer."
"548",NA,NA,""
"549",NA,NA,""
"550",NA,NA,""
"551",2,4,"Not interested myself, might be good for somebody."
"552",2,1,""
"553",NA,NA,""
"554",5,5,"I could prefer efforts put on fix/improve the perl core and cpan, colaboration with Linux distributions perl teams, to improve perl delivery to the world and more famous and used common apps (blog, CMS, etc) written in perl.[CR][CR]If efforts are put on certification, I think it's not going to improve perl adoption at a future... but only useful to a few big companys that has legacy perl applications around.[CR]"
"555",1,1,""
"556",1,1,""
"557",1,1,""
"558",3,5,""
"559",6,6,"Sounds interesting, indeed. I would apply if there were any."
"560",3,4,""
"561",NA,NA,""
"562",NA,NA,""
"563",2,2,"While I regard certifications useful in general: All efforts should be concentrated to get Perl 6 thriving. No Perl 6, no future for Perl, no need for certificates."
"564",1,1,""
"565",NA,NA,""
"566",NA,NA,""
"567",5,5,""
"568",NA,NA,""
"569",5,5,"Would only be respected if combined with a long history of using perl - otherwise most people who do know perl would laugh at the certificate bearer."
"570",NA,NA,""
"571",5,5,"Money is a factor. I like the idea of becoming certified, but only if the price is right. I can't drop $100-200 to prove that I'm fluent in a programming language, when I can just provide code examples."
"572",NA,NA,""
"573",3,3,""
"574",2,2,"There is no perl ""common body of knowledge"", which is a prerequisite for certification.  Furthermore, the motto ""there is more than one way to do it"" means that there is no one correct answer to many questions/problems."
"575",NA,NA,""
"576",NA,NA,""
"577",5,5,"I don't know of any Perl certifications."
"578",3,3,"It is good to start the Certification for PERL also like ZEND for PHP. Even ruby does not have any certification"
"579",NA,NA,""
"580",5,5,"I would probably get one if there was one if it wouldn't be too expensive. It can be useful, but it's not very important. Experience is more important for employers than certificates."
"581",1,1,""
"582",1,1,"sounds childish"
"583",3,5,""
"584",NA,NA,""
"585",1,6,""
"586",NA,NA,""
"587",7,7,""
"588",3,3,""
"589",1,6,""
"590",2,1,""
"591",NA,NA,""
"592",2,2,"Certification is useless."
"593",4,4,"Certification is only as good as the trust it engenders in people in power."
"594",5,5,""
"595",6,6,""
"596",3,5,""
"597",4,6,""
"598",4,5,""
"599",NA,NA,""
"600",5,1,""
"601",2,5,""
"602",NA,NA,""
"603",NA,NA,""
"604",3,3,""
"605",4,4,""
"606",NA,NA,""
"607",NA,NA,""
"608",NA,NA,""
"609",5,5,""
"610",NA,NA,""
"611",NA,NA,""
"612",NA,NA,""
"613",5,5,""
"614",NA,NA,""
"615",NA,NA,""
"616",3,4,"Who certifies the certification process? Where does it get legitimacy?"
"617",NA,NA,""
"618",2,2,""
"619",3,5,"Although I might be able to see where ""having certification"" could mean broader acceptance for the language, I don't see it as being something I'd strive for myself _until_ I saw that it would provide me a benefit to my career.  Chicken, meet egg."
"620",3,1,""
"621",NA,NA,""
"622",NA,NA,""
